"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTGR1",9.04899434745049e-06,0.0292102014803445,0.652,0.926,0.018097988694901
"CTNNA2",9.05713936156781e-06,-0.0208314370237538,0.319,0.613,0.0181142787231356
"CLU",1.02982251255935e-05,-0.0676815318570783,0.729,0.954,0.0205964502511869
"PDPN",1.10818255332434e-05,0.0966622458199395,0.766,0.857,0.0221636510664869
"GUCY1A2",1.12594980011652e-05,0.0116280721587688,0.372,0.666,0.0225189960023304
"ZWINT",1.17088241941852e-05,0.116736202477264,0.718,0.772,0.0234176483883704
"PHLDB2",1.21431349735176e-05,0.0358778635187638,0.35,0.498,0.0242862699470352
"UHRF1",1.26709146735849e-05,0.104853074580888,0.669,0.723,0.0253418293471699
"SUPT16H",1.29432604264064e-05,0.105144803399476,0.965,0.972,0.0258865208528127
"HTRA1",1.31870690259657e-05,0.105845318203993,0.483,0.779,0.0263741380519314
"MCM8",1.37310576634105e-05,-0.0326801879388363,0.446,0.715,0.027462115326821
"SEMA3E",1.49085894826976e-05,-0.019074288688126,0.226,0.428,0.0298171789653953
"TMPO",1.91345844716287e-05,0.120416633220164,0.949,0.972,0.0382691689432573
"NFIA",1.99824648278442e-05,-0.0250318350193219,0.242,0.386,0.0399649296556884
"TMTC1",2.02776358797171e-05,0.0186790249941848,0.358,0.516,0.0405552717594343
"REEP1",2.09456939581112e-05,0.0117780850182254,0.223,0.431,0.0418913879162224
"BAX",2.23724116898397e-05,0.138122334072595,0.814,0.867,0.0447448233796793
"WNT7B",2.25519705740713e-05,0.0618317590548234,0.549,0.855,0.0451039411481426
"MSX2",2.31691651933826e-05,0.0599534101717712,0.529,0.608,0.0463383303867652
"DST",2.34396289904404e-05,-0.0424534030858369,0.681,0.917,0.0468792579808809
"FLRT2",2.61357710280917e-05,0.012126777517615,0.258,0.579,0.0522715420561834
"RBFOX3",2.69610220978812e-05,-0.0141420584535883,0.216,0.432,0.0539220441957624
"BACE2",2.96932177696023e-05,0.0279534093638592,0.421,0.685,0.0593864355392046
"PLIN5",2.98324461533101e-05,0.0132685738771541,0.472,0.731,0.0596648923066203
